text;label
"""Saya merasa cemas setiap kali ujian mendekat.""";1
"""Khawatir tidak lulus membuat saya sulit berkonsentrasi.""";1
"""Saya selalu merasakan ketegangan sebelum presentasi.""";1
"""Perasaan cemas muncul saat mendengar kabar buruk.""";1
"""Saya sulit tidur karena memikirkan tugas yang belum selesai.""";1
"""Terkadang saya merasa panik saat menghadapi keramaian.""";1
"""Saya merasa cemas saat menunggu hasil ujian.""";1
"""Rasa cemas menghantui saya setiap kali saya harus berbicara di depan umum.""";1
"""Kekhawatiran tentang masa depan sering membuat saya gelisah.""";1
"""Setiap kali ada perubahan, saya merasa cemas dan tidak nyaman.""";1
"""Saya merasa tertekan ketika banyak tugas yang harus dikerjakan.""";1
"""Perasaan tidak pasti membuat saya merasa cemas.""";1
"""Khawatir akan penilaian orang lain sering mengganggu saya.""";1
"""Saya merasa cemas jika tidak mendapatkan dukungan dari teman-teman.""";1
"""Kadang-kadang, saya merasa terjebak dalam pikiran cemas yang berulang.""";1
"""Kekhawatiran tentang kesehatan sering membuat saya merasa stres.""";1
"""Saya merasa cemas saat ada deadline yang mendekat.""";1
"""Perasaan cemas ini membuat saya tidak bisa menikmati waktu bersama keluarga.""";1
"""Saya merasa tidak tenang ketika harus mengambil keputusan penting.""";1
"""Rasa cemas membuat saya tidak bisa fokus saat belajar.""";1
"""Saya merasa cemas ketika berpikir tentang presentasi di depan kelas.""";1
"""Mendengar suara bising kadang membuat saya merasa sangat cemas.""";1
"""Ketidakpastian dalam hidup sering membuat saya gelisah.""";1
"""Saya merasa tertekan saat berada dalam situasi yang tidak familiar.""";1
"""Rasa takut gagal selalu menghantui saya.""";1
"""Setiap kali ada ujian, saya merasa jantung berdebar.""";1
"""Khawatir tentang pergaulan membuat saya sering merasa cemas.""";1
"""Saya merasa cemas jika tidak tahu apa yang diharapkan dari saya.""";1
"""Perasaan cemas ini sering mengganggu rutinitas sehari-hari.""";1
"""Saya merasa gelisah ketika tidak ada rencana untuk masa depan.""";1
"""Khawatir tentang tidak diterima di perguruan tinggi membuat saya sangat stres.""";1
"""Saya merasa tidak nyaman saat harus menghadapi orang baru.""";1
"""Mendapatkan kritik membuat saya merasa cemas dan tidak percaya diri.""";1
"""Saya merasa cemas saat berbicara dengan orang yang lebih senior.""";1
"""Khawatir tentang pencapaian akademik sering membuat saya tertekan.""";1
"""Saya sering merasa tidak berdaya ketika mengalami kecemasan yang berlebihan.""";1
"""Saya merasa cemas saat menghadapi ujian yang sulit.""";1
"""Khawatir tentang penampilan sering membuat saya merasa tidak nyaman.""";1
"""Perasaan cemas ini kadang mengganggu hubungan sosial saya.""";1
"""Saya merasa gelisah ketika harus menjawab pertanyaan mendadak.""";1
"""Mendapat banyak tugas membuat saya merasa sangat cemas.""";1
"""Saya merasa cemas ketika tidak mendapatkan feedback yang jelas.""";1
"""Kekhawatiran akan masa depan sering menghantui pikiran saya.""";1
"""Saya merasa cemas saat harus berbicara dengan orang yang tidak saya kenal.""";1
"""Kadang saya merasa tidak berdaya saat menghadapi tekanan akademik.""";1
"""Saya sering mengalami serangan panik tanpa sebab yang jelas.""";1
"""Rasa cemas ini sering kali membuat saya sulit menikmati hidup.""";1
"""Khawatir tentang pandangan orang lain membuat saya merasa tidak nyaman.""";1
"""Saya merasa cemas jika harus menghadapi situasi yang tidak saya pahami.""";1
"""Setiap kali saya mendengar berita buruk, saya merasa sangat cemas.""";1
"""Saya cenderung overthinking tentang hal-hal kecil.""";1
"""Ketidakpastian sering membuat saya merasa tidak tenang.""";1
"""Saya merasa cemas ketika harus menjalani wawancara kerja.""";1
"""Perasaan tidak berdaya ini mengganggu kesehatan mental saya.""";1
"""Saya merasa tenang ketika belajar dengan baik.""";0
"""Saya bisa menikmati waktu bersama teman-teman tanpa merasa khawatir.""";0
"""Saya merasa percaya diri saat menghadapi ujian.""";0
"""Saya dapat bersantai dan menikmati musik di waktu luang.""";0
"""Perasaan damai mengisi pikiran saya ketika saya meditasi.""";0
"""Saya merasa yakin dengan kemampuan saya dalam menghadapi tantangan.""";0
"""Menghabiskan waktu di alam membuat saya merasa sangat tenang.""";0
"""Saya merasa nyaman berbicara di depan orang banyak.""";0
"""Saya dapat tidur nyenyak tanpa ada rasa cemas.""";0
"""Saya merasa lega setelah menyelesaikan tugas yang berat.""";0
"""Kehadiran teman-teman membuat saya merasa aman.""";0
"""Saya tidak merasa tertekan saat mengerjakan tugas.""";0
"""Berolahraga membuat saya merasa lebih segar dan tidak cemas.""";0
"""Saya merasa optimis tentang masa depan saya.""";0
"""Menulis jurnal membantu saya meredakan pikiran negatif.""";0
"""Saya merasa bangga dengan pencapaian saya tanpa merasa tertekan.""";0
"""Saya bisa menghadapi ujian dengan tenang.""";0
"""Saya menikmati waktu sendiri dan tidak merasa kesepian.""";0
"""Berbicara dengan guru membantu saya merasa lebih baik.""";0
"""Saya merasa puas dengan hasil kerja saya.""";0
"""Berkumpul dengan keluarga memberi saya rasa nyaman.""";0
"""Saya merasa siap menghadapi tantangan baru.""";0
"""Saya bisa beristirahat dengan tenang setelah menyelesaikan pekerjaan.""";0
"""Saya merasa percaya diri ketika berkolaborasi dengan teman.""";0
"""Menghadiri acara sosial membuat saya merasa bersemangat.""";0
"""Saya bisa mengatasi stres dengan baik.""";0
"""Saya merasa tidak ada yang perlu dikhawatirkan saat bersantai.""";0
"""Saya merasa berenergi setelah melakukan hobi saya.""";0
"""Saya memiliki pandangan positif tentang hidup.""";0
"""Saya merasa tenang saat menghadapi situasi yang sulit.""";0
"""Kehadiran hewan peliharaan membuat saya merasa bahagia.""";0
"""Saya bisa tersenyum meskipun menghadapi masalah.""";0
"""Saya merasa sangat cemas saat menghadapi perubahan besar dalam hidup.""";0
"""Saya menikmati momen-momen kecil dalam hidup tanpa rasa cemas.""";0
"""Saya merasa tidak ada yang perlu ditakutkan saat menghadiri acara.""";0
"""Saya bisa beradaptasi dengan baik di lingkungan baru.""";0
"""Saya merasa lebih baik setelah berbagi cerita dengan teman.""";0
"""Saya merasa tegang menjelang ujian akhir.""";1
"""Tegang menghampiri saya saat harus presentasi di depan kelas.""";1
"""Setiap kali ada tugas kelompok, saya merasa tegang dengan deadline yang mendekat.""";1
"""Perasaan tegang ini membuat saya sulit tidur malam sebelumnya.""";1
"""Saya merasa tegang saat mendengar suara bising di sekitar.""";1
"""Ada rasa tegang ketika saya harus menjawab pertanyaan mendadak dari guru.""";1
"""Tegang di dalam hati saya saat menunggu hasil ujian.""";1
"""Saya merasa tegang ketika harus berdebat dengan teman sekelas.""";1
"""Rasa tegang ini muncul saat saya harus mengerjakan tugas di saat-saat terakhir.""";1
"""Saya merasa sangat tegang saat berbicara di depan umum.""";1
"""Perasaan tegang ini membuat saya tidak bisa berkonsentrasi.""";1
"""Saya merasa tegang saat harus menghadapi kritik dari orang lain.""";1
"""Setiap kali ada evaluasi, saya merasa tegang dan khawatir.""";1
"""Ada rasa tegang saat saya harus mengikuti ujian praktik.""";1
"""Saya merasa tegang saat menghadiri pertemuan dengan orang yang lebih senior.""";1
"""Perasaan tegang ini menghantui saya ketika ujian semakin dekat.""";1
"""Saya merasa tegang jika harus berbicara tentang proyek di depan kelas.""";1
"""Kekhawatiran membuat saya merasa tegang saat menyusun laporan.""";1
"""Saya merasa tegang ketika berusaha untuk tidak mengecewakan orang tua.""";1
"""Ada rasa tegang saat harus menjelaskan materi yang belum sepenuhnya saya pahami.""";1
"""Saya merasa tegang ketika bertemu dengan teman yang baru.""";1
"""Perasaan tegang ini muncul ketika harus tampil di acara sekolah.""";1
"""Saya merasa sangat tegang jika ada ujian yang diadakan mendadak.""";1
"""Tegang saat menunggu giliran presentasi membuat saya semakin cemas.""";1
"""Saya merasa tegang ketika harus menjelaskan kesalahan di depan kelas.""";1
"""Ada rasa tegang saat berbicara dengan guru tentang nilai yang tidak memuaskan.""";1
"""Saya merasa tegang saat melihat teman-teman saya lebih siap menghadapi ujian.""";1
"""Kekhawatiran akan penampilan membuat saya merasa tegang sebelum acara.""";1
"""Perasaan tegang ini muncul setiap kali saya harus mengerjakan tugas yang sulit.""";1
"""Saya merasa tegang ketika harus menjawab pertanyaan sulit di ujian.""";1
"""Ada rasa tegang saat menghadapi situasi yang tidak familiar.""";1
"""Saya merasa tegang ketika harus memberikan umpan balik pada teman.""";1
"""Tegang menghampiri saya saat melihat teman-teman mendapat nilai lebih tinggi.""";1
"""Saya merasa tegang ketika tidak mendapatkan dukungan dari teman-teman.""";1
"""Perasaan tegang ini sering membuat saya merasa lelah secara mental.""";1
"""Saya merasa tegang saat harus menghadiri wawancara untuk beasiswa.""";1
"""Tegang menyelimuti saya ketika harus menghadapi orang yang saya kagumi.""";1
"""Saya merasa tegang saat menghadiri acara formal untuk pertama kalinya.""";1
"""Ada rasa tegang saat menjelaskan presentasi di depan guru dan teman sekelas.""";1
"""Saya merasa tegang ketika melihat daftar nilai yang dipajang.""";1
"""Perasaan tegang ini membuat saya tidak bisa menikmati waktu santai.""";1
"""Saya merasa tegang jika tidak ada persiapan yang matang sebelum ujian.""";1
"""Kekhawatiran tentang masa depan membuat saya merasa tegang setiap hari.""";1
"""Saya merasa tegang ketika harus bekerja sama dengan orang yang tidak dikenal.""";1
"""Ada rasa tegang saat menunggu keputusan dari perguruan tinggi.""";1
"""Saya merasa tegang ketika harus berbicara dengan orang yang lebih berpengalaman.""";1
"""Perasaan tegang ini muncul setiap kali ada kompetisi di sekolah.""";1
"""Saya merasa tegang saat harus menjawab pertanyaan dari juri.""";1
"""Ada rasa tegang ketika saya harus menghadapi tantangan baru di sekolah.""";1
